,SQFT,PBA,HDD65,CDD65
1029,97000,24,4889,1199
1030,300000,2,5962,1023
1031,700000,24,5315,1230
1032,1500000,16,4002,1012
1033,300000,2,5585,759
1034,1400000,16,4713,1084
1035,285000,2,8131,702
1036,500001,16,2132,2817
1037,90000,14,8004,747
1038,245000,16,6557,673
1039,500001,16,6367,529
1040,325000,16,5079,1037
1041,700000,16,3037,2036
1042,600000,2,8353,650
1043,75000,16,5578,956
1044,600000,2,6307,673
1045,71000,8,2334,219
1046,305000,16,7845,679
1047,10750,7,1944,3810
1048,240000,2,924,1442
1049,28000,26,7011,641
1050,13000,25,4699,1406
1051,170000,4,6788,517
1052,10250,2,3256,1933
1053,370000,5,4396,258
1054,1500000,16,2386,2525
1055,182000,16,4938,764
1056,415000,2,1014,2756
1057,16000,2,7584,496
1058,225000,26,5909,607
1059,104000,16,5689,474
1060,245000,18,4737,1300
1061,10000,7,770,4458
1062,116000,7,8190,633
1063,260000,14,4941,1193
1064,70000,23,3272,1702
1065,410000,7,942,3506
1066,132000,2,841,1330
1067,600000,16,3285,1974
1068,45000,14,5086,1166
1069,600000,16,4874,1283
1070,140000,2,752,1935
1071,72000,16,5793,1237
1072,1600000,16,5038,1009
1073,315000,91,5863,697
1074,1400000,24,4753,963
1075,1000000,18,4105,1208
1076,900000,16,6297,669
1077,800000,16,5698,593
1078,108000,17,3817,1568
1079,56000,2,3671,1320
1080,40500,7,6775,563
1081,110000,14,6066,753
1082,120000,17,5685,497
1083,46000,14,5166,1025
1084,164000,2,3076,1913
1085,100000,16,3540,1576
1086,140000,2,5240,839
1087,15000,17,1415,1705
